期数,日期,星期,红球一,红球二,红球三,红球四,红球五,红球六,蓝球,销量（元）,奖池（元）,一等奖单注奖金,二等奖单注奖金,三等奖单注奖金,四等奖单注奖金,五等奖单注奖金,六等奖单注奖金
2003001	,2003/2/23	,7,10,11,12,13,26,28,11,10307806	,2097070	
2003002	,2003/2/27	,4,4,9,19,20,21,26,12,7398870	,8330621	
2003003	,2003/3/2	,7,1,7,10,23,28,32,16,8917960	,9881677	
2003004	,2003/3/6	,4,4,6,7,10,13,25,3,9517794	,11852729	
2003005	,2003/3/9	,7,4,6,15,17,30,31,16,10661438	,14280829	
2003006	,2003/3/13	,4,1,3,10,21,26,27,6,10919658	,16204682	
2003007	,2003/3/16	,7,1,9,19,21,23,26,7,12124030	,12985898	
2003008	,2003/3/20	,4,5,8,9,14,17,23,8,11696278	,13403319	
2003009	,2003/3/23	,7,5,9,18,20,22,30,9,12386072	,13902044	
2003010	,2003/3/27	,4,1,2,8,13,17,24,13,12402130	,10810274	
2003011	,2003/3/30	,7,4,5,11,12,30,32,15,12782494	,12695728	
2003012	,2003/4/3	,4,2,12,16,17,27,30,12,12307262	,9876408	
2003013	,2003/4/6	,7,8,13,17,21,23,32,12,12611880	,13128993	
2003014	,2003/4/10	,4,3,5,7,8,21,31,2,12476130	,15565779	
2003015	,2003/4/13	,7,4,11,19,25,26,32,13,13460134	,18393824	
2003016	,2003/4/17	,4,11,17,28,30,31,33,6,13098324	,22558622	
2003017	,2003/4/20	,7,5,8,18,23,25,31,6,14451270	,25928966	
2003018	,2003/4/24	,4,5,16,19,20,25,28,13,14339392	,29122692	
2003019	,2003/4/27	,7,4,8,12,13,16,33,9,15159580	,31555212	
2003020	,2003/5/1	,4,7,10,25,26,27,32,4,14670860	,8846550	
2003021	,2003/5/4	,7,14,15,18,25,26,30,1,13537342	,7108391	
2003022	,2003/5/8	,4,2,7,11,12,14,32,8,13869188	,9597935	
2003023	,2003/5/11	,7,1,10,20,22,26,31,2,15374822	,8321908	
2003024	,2003/5/15	,4,2,7,15,17,22,30,14,15035104	,10313559	
2003025	,2003/5/18	,7,1,5,11,13,14,27,12,16536260	,8394596	
2003026	,2003/5/22	,4,8,13,15,26,29,31,16,16245314	,11267818	
2003027	,2003/5/25	,7,1,11,14,17,27,28,15,17626250	,9553276	
2003028	,2003/5/29	,4,6,13,16,20,28,32,7,17442014	,7115273	
2003029	,2003/6/1	,7,2,7,15,26,29,32,10,17515374	,3170231	
2003030	,2003/6/5	,4,2,6,13,14,23,27,7,16765384	,7240631	
